Job ID: 22737663
Node: gcn62
Start: Thu May 14 01:43:10 CEST 2026
Device: cuda
Config: {'model_path': '/home/scur0036/diffusion-models-project/models/unet_C0_128_convs_2/init.pt', 'train_dataset_path': '/home/scur0036/diffusion-models-project/models/unet_C0_128_convs_2/train_dataset.pt', 'test_dataset_path': '/home/scur0036/diffusion-models-project/models/unet_C0_128_convs_2/test_dataset.pt', 'epochs': 300, 'batch_size': 32, 'weight_decay': 1e-06, 'lr': None, 'save_path': '/home/scur0036/diffusion-models-project/models/unet_C0_128_convs_2/trained.pkl', 'early_stopping': 15}
Parameters: 7,524,097
Train samples: 60000, Test samples: 10000
Stopping early, the loss has diverged
Learning rate search finished. See the graph with {finder_name}.plot()
LR suggestion: steepest gradient
Suggested LR: 4.04E-04
LR finder: 4.04e-04 → using 2.02e-04
Epoch 0 | train loss: 0.0620 | test loss: 0.0359
Epoch 1 | train loss: 0.0348 | test loss: 0.0319
Epoch 2 | train loss: 0.0322 | test loss: 0.0301
Epoch 3 | train loss: 0.0301 | test loss: 0.0276
Epoch 4 | train loss: 0.0291 | test loss: 0.0273
Epoch 5 | train loss: 0.0283 | test loss: 0.0283
Epoch 6 | train loss: 0.0276 | test loss: 0.0264
Epoch 7 | train loss: 0.0272 | test loss: 0.0259
Epoch 8 | train loss: 0.0270 | test loss: 0.0259
Epoch 9 | train loss: 0.0267 | test loss: 0.0261
Epoch 10 | train loss: 0.0264 | test loss: 0.0262
Epoch 11 | train loss: 0.0260 | test loss: 0.0253
Epoch 12 | train loss: 0.0259 | test loss: 0.0254
Epoch 13 | train loss: 0.0258 | test loss: 0.0273
Epoch 14 | train loss: 0.0258 | test loss: 0.0260
Epoch 15 | train loss: 0.0254 | test loss: 0.0253
Epoch 16 | train loss: 0.0254 | test loss: 0.0254
Epoch 17 | train loss: 0.0252 | test loss: 0.0252
Epoch 18 | train loss: 0.0250 | test loss: 0.0247
Epoch 19 | train loss: 0.0251 | test loss: 0.0251
Epoch 20 | train loss: 0.0253 | test loss: 0.0239
Epoch 21 | train loss: 0.0249 | test loss: 0.0248
Epoch 22 | train loss: 0.0247 | test loss: 0.0247
Epoch 23 | train loss: 0.0249 | test loss: 0.0247
Epoch 24 | train loss: 0.0246 | test loss: 0.0248
Epoch 25 | train loss: 0.0236 | test loss: 0.0244
Epoch 26 | train loss: 0.0238 | test loss: 0.0238
Epoch 27 | train loss: 0.0239 | test loss: 0.0234
Epoch 28 | train loss: 0.0238 | test loss: 0.0238
Epoch 29 | train loss: 0.0238 | test loss: 0.0239
Epoch 30 | train loss: 0.0237 | test loss: 0.0243
Epoch 31 | train loss: 0.0237 | test loss: 0.0236
Epoch 32 | train loss: 0.0233 | test loss: 0.0237
Epoch 33 | train loss: 0.0235 | test loss: 0.0232
Epoch 34 | train loss: 0.0234 | test loss: 0.0234
Epoch 35 | train loss: 0.0232 | test loss: 0.0228
Epoch 36 | train loss: 0.0232 | test loss: 0.0234
Epoch 37 | train loss: 0.0233 | test loss: 0.0231
Epoch 38 | train loss: 0.0232 | test loss: 0.0231
Epoch 39 | train loss: 0.0231 | test loss: 0.0230
Epoch 40 | train loss: 0.0227 | test loss: 0.0229
Epoch 41 | train loss: 0.0228 | test loss: 0.0230
Epoch 42 | train loss: 0.0231 | test loss: 0.0233
Epoch 43 | train loss: 0.0228 | test loss: 0.0228
Epoch 44 | train loss: 0.0229 | test loss: 0.0224
Epoch 45 | train loss: 0.0231 | test loss: 0.0229
Epoch 46 | train loss: 0.0227 | test loss: 0.0230
Epoch 47 | train loss: 0.0228 | test loss: 0.0230
Epoch 48 | train loss: 0.0229 | test loss: 0.0224
Epoch 49 | train loss: 0.0227 | test loss: 0.0230
Epoch 50 | train loss: 0.0227 | test loss: 0.0231
Epoch 51 | train loss: 0.0228 | test loss: 0.0227
Epoch 52 | train loss: 0.0228 | test loss: 0.0225
Epoch 53 | train loss: 0.0228 | test loss: 0.0234
Epoch 54 | train loss: 0.0226 | test loss: 0.0226
Epoch 55 | train loss: 0.0225 | test loss: 0.0229
Epoch 56 | train loss: 0.0226 | test loss: 0.0233
Epoch 57 | train loss: 0.0226 | test loss: 0.0229
Epoch 58 | train loss: 0.0225 | test loss: 0.0232
Epoch 59 | train loss: 0.0229 | test loss: 0.0231
Epoch 60 | train loss: 0.0225 | test loss: 0.0230
Epoch 61 | train loss: 0.0225 | test loss: 0.0226
Epoch 62 | train loss: 0.0227 | test loss: 0.0226
Epoch 63 | train loss: 0.0227 | test loss: 0.0224
Early stopping at epoch 63
Best test loss: 0.0224
Trained model saved to: /home/scur0036/diffusion-models-project/models/unet_C0_128_convs_2/trained.pkl
Cleaned up init files.
Done: Thu May 14 02:15:58 CEST 2026
